timestamp,GMXXX_NO2 (ppm),GMXXX_Ethanol (ppm),GMXXX_VOC (ppm),GMXXX_CO (ppm),MiCS5524_CO (ppm),MiCS5524_Ethanol (ppm),MiCS5524_VOC (ppm),label
1765203829051,0.850000,0.615000,0.290000,0.224000,16.464000,19.194000,6.008000,idle
1765203829305,0.850000,0.615000,0.289000,0.224000,15.033000,17.042000,5.420000,idle
1765203829405,0.849000,0.615000,0.289000,0.224000,14.753000,16.628000,5.306000,idle
1765203830112,0.851000,0.616000,0.289000,0.224000,14.753000,16.628000,5.306000,idle
1765203830163,0.850000,0.616000,0.290000,0.224000,14.753000,16.628000,5.306000,idle
1765203830872,0.850000,0.615000,0.289000,0.224000,14.614000,16.423000,5.249000,idle
1765203831176,0.851000,0.615000,0.289000,0.221000,14.753000,16.628000,5.306000,idle
1765203831783,0.849000,0.616000,0.289000,0.222000,14.475000,16.220000,5.192000,idle
1765203832188,0.851000,0.616000,0.288000,0.219000,14.753000,16.628000,5.306000,idle
1765203832594,0.850000,0.616000,0.288000,0.219000,14.614000,16.423000,5.249000,idle
1765203832695,0.851000,0.616000,0.288000,0.219000,14.475000,16.220000,5.192000,idle
1765203833354,0.850000,0.616000,0.288000,0.220000,14.475000,16.220000,5.192000,idle
1765203834012,0.851000,0.616000,0.286000,0.218000,14.475000,16.220000,5.192000,idle
1765203835735,0.849000,0.616000,0.286000,0.217000,14.475000,16.220000,5.192000,idle
1765203836293,0.850000,0.616000,0.285000,0.216000,15.033000,17.042000,5.420000,idle
1765203836698,0.849000,0.616000,0.285000,0.217000,14.753000,16.628000,5.306000,idle
1765203836953,0.850000,0.615000,0.286000,0.217000,14.614000,16.423000,5.249000,idle
1765203837510,0.850000,0.616000,0.285000,0.218000,14.614000,16.423000,5.249000,idle
1765203837965,0.850000,0.615000,0.285000,0.218000,14.614000,16.423000,5.249000,idle
1765203838420,0.850000,0.617000,0.286000,0.220000,14.753000,16.628000,5.306000,idle
1765203838976,0.850000,0.616000,0.286000,0.221000,14.753000,16.628000,5.306000,idle
1765203839431,0.851000,0.616000,0.288000,0.224000,15.033000,17.042000,5.420000,idle
1765203840191,0.850000,0.616000,0.288000,0.225000,14.753000,16.628000,5.306000,idle
1765203840291,0.851000,0.616000,0.289000,0.226000,15.174000,17.251000,5.477000,idle
1765203841101,0.851000,0.616000,0.290000,0.226000,15.174000,17.251000,5.477000,idle
1765203842817,0.851000,0.617000,0.290000,0.228000,15.315000,17.461000,5.535000,idle
1765203843170,0.853000,0.617000,0.293000,0.231000,16.174000,18.752000,5.888000,idle
1765203843575,0.852000,0.617000,0.294000,0.235000,15.599000,17.886000,5.652000,idle
1765203843876,0.852000,0.617000,0.294000,0.235000,15.457000,17.673000,5.593000,idle
1765203845540,0.853000,0.617000,0.297000,0.236000,15.315000,17.461000,5.535000,level_1_state_1
1765203846449,0.853000,0.617000,0.300000,0.243000,17.051000,20.094000,6.252000,level_1_state_1
1765203848069,0.852000,0.616000,0.305000,0.243000,16.904000,19.867000,6.190000,level_1_state_1
1765203848677,0.850000,0.615000,0.300000,0.231000,15.599000,17.886000,5.652000,level_1_state_1
1765203848728,0.849000,0.615000,0.296000,0.224000,14.893000,16.834000,5.363000,level_1_state_1
1765203849083,0.849000,0.615000,0.294000,0.222000,14.337000,16.018000,5.136000,level_1_state_1
1765203849486,0.848000,0.615000,0.292000,0.217000,14.199000,15.817000,5.080000,level_1_state_1
1765203849838,0.846000,0.615000,0.289000,0.212000,13.654000,15.027000,4.860000,level_1_state_1
1765203849939,0.846000,0.615000,0.287000,0.208000,13.384000,14.640000,4.751000,level_1_state_1
1765203850394,0.845000,0.615000,0.284000,0.203000,12.850000,13.881000,4.537000,level_1_state_1
1765203850495,0.845000,0.614000,0.281000,0.199000,12.587000,13.510000,4.432000,level_1_state_1
1765203851102,0.844000,0.615000,0.279000,0.196000,12.325000,13.144000,4.327000,level_1_state_1
1765203851809,0.842000,0.614000,0.272000,0.187000,11.552000,12.076000,4.021000,level_1_state_1
1765203852366,0.840000,0.614000,0.266000,0.179000,11.046000,11.390000,3.822000,level_1_state_1
1765203852974,0.839000,0.614000,0.262000,0.174000,10.672000,10.888000,3.676000,level_1_state_1
1765203853783,0.838000,0.615000,0.260000,0.172000,10.425000,10.560000,3.580000,level_1_state_1
1765203854442,0.836000,0.614000,0.250000,0.163000,10.059000,10.077000,3.437000,level_1_state_1
1765203855049,0.834000,0.614000,0.245000,0.159000,9.696000,9.605000,3.297000,level_1_state_1
1765203856062,0.834000,0.614000,0.242000,0.155000,9.220000,8.992000,3.114000,level_1_state_1
1765203856619,0.833000,0.613000,0.240000,0.153000,9.220000,8.992000,3.114000,level_1_state_1
1765203856721,0.832000,0.613000,0.236000,0.150000,9.102000,8.842000,3.069000,level_1_state_1
1765203857428,0.832000,0.613000,0.232000,0.147000,8.985000,8.693000,3.024000,level_1_state_1
1765203858391,0.830000,0.613000,0.228000,0.145000,8.635000,8.254000,2.891000,level_1_state_1
1765203858896,0.829000,0.613000,0.226000,0.144000,8.520000,8.110000,2.848000,level_1_state_1
1765203859301,0.829000,0.613000,0.224000,0.143000,8.405000,7.967000,2.804000,level_1_state_1
1765203859655,0.828000,0.613000,0.223000,0.143000,8.405000,7.967000,2.804000,level_1_state_1
1765203860160,0.828000,0.613000,0.221000,0.140000,8.176000,7.685000,2.718000,level_1_state_1
1765203860565,0.827000,0.613000,0.220000,0.140000,8.176000,7.685000,2.718000,level_1_state_1
1765203860666,0.828000,0.612000,0.218000,0.140000,8.176000,7.685000,2.718000,level_1_state_1
1765203861223,0.826000,0.612000,0.216000,0.139000,8.063000,7.546000,2.675000,level_1_state_1
1765203861477,0.826000,0.613000,0.214000,0.138000,7.950000,7.408000,2.633000,level_1_state_1
1765203862085,0.827000,0.612000,0.214000,0.137000,7.837000,7.271000,2.590000,level_1_state_1
1765203862591,0.826000,0.612000,0.212000,0.136000,7.725000,7.135000,2.549000,level_1_state_1
1765203863349,0.825000,0.612000,0.212000,0.136000,7.837000,7.271000,2.590000,level_1_state_1
